Interval (ms),PCM1.P1.MAP,PCM1.P19.BatteryVolts,PCM1.P19.Coolant_Temp,PCM1.P1.Final_AFR1,PCM1.P1.Final_AFR2,PCM1.P14.InjectorPW1,PCM1.P9.O2Fuel_MultA,PCM1.P9.O2Fuel_MultB,PCM1.P23.Primary_Fuel_Pressure,PCM1.P12.PrimaryCompensatedInjectorFlow,PCM1.P9.RPM,PCM1.P1.Spark_Advance_Log,PCM1.P20.Target_AFR,PCM1.P4.TimeSinceRun,PCM1.P2.TPS,PCM1.P3.WasteGate_SetPoint,PCM1.P3.NonDrivenWheelSpeed,PCM1.P3.DrivenWheelSpeed,PCM1.P20.Engine_HP_Potential,PCM1.P22.EngineTorque,PCM1.ERI.VarDecs.Primary_Injector_Duty
2023-02-19::06:06:29.785,-8.99,14.43,161.60,9.02,1.03,2059.00,1.00,1.00,49.89,1266.00,1099.00,20.14,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:29.814,-8.99,14.43,161.60,9.03,1.03,2058.00,1.00,1.00,50.04,1272.00,1100.00,20.35,10.01,386.00,2.00,22.05,0.00,0.00,10.00,47.00
2023-02-19::06:06:29.838,-8.99,14.43,161.60,9.03,1.03,2056.00,1.00,1.00,50.47,1268.00,1100.00,20.28,10.01,386.00,2.00,22.05,0.00,0.00,10.00,47.00
2023-02-19::06:06:29.860,-8.99,14.43,161.60,9.03,1.03,2059.00,1.00,1.00,50.04,1272.00,1102.00,20.21,10.01,386.00,1.00,22.05,0.00,0.00,10.00,47.00
2023-02-19::06:06:29.895,-8.99,14.39,161.60,9.03,1.03,2066.00,1.00,1.00,50.33,1270.00,1105.00,19.57,10.01,386.00,2.00,22.05,0.00,0.00,10.00,47.00
2023-02-19::06:06:29.932,-8.99,14.39,161.60,9.03,1.03,2055.00,1.00,1.00,50.47,1270.00,1096.00,20.53,10.00,386.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.975,-8.99,14.39,161.60,9.02,1.02,2052.00,1.00,1.00,50.47,1268.00,1093.00,20.69,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:29.996,-8.99,14.43,161.60,9.03,1.03,2055.00,1.00,1.00,49.89,1272.00,1095.00,20.64,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.018,-8.99,14.43,161.60,9.03,1.03,2052.00,1.00,1.00,50.47,1266.00,1091.00,20.53,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.040,-8.99,14.43,161.60,9.03,1.03,2055.00,1.00,1.00,49.89,1272.00,1089.00,20.79,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.067,-8.99,14.43,161.60,9.03,1.03,2054.00,1.00,1.00,50.04,1270.00,1090.00,20.79,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.108,-8.99,14.39,161.60,9.04,1.03,2061.00,1.00,1.00,50.47,1270.00,1093.00,20.53,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.129,-8.99,14.39,161.60,9.03,1.03,2052.00,1.00,1.00,50.04,1272.00,1085.00,20.69,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.151,-8.99,14.39,161.60,9.03,1.03,2051.00,1.00,1.00,50.47,1268.00,1084.00,20.89,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.174,-8.99,14.39,161.60,9.03,1.03,2052.00,1.00,1.00,50.04,1272.00,1081.00,20.90,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.204,-8.99,14.43,161.60,9.04,1.03,2051.00,1.00,1.00,50.47,1268.00,1084.00,20.91,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.237,-8.99,14.43,161.60,9.03,1.03,2051.00,1.00,1.00,50.47,1268.00,1083.00,20.89,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.259,-8.99,14.43,161.60,9.03,1.03,2056.00,1.00,1.00,49.89,1272.00,1085.00,20.90,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.281,-8.99,14.43,161.60,9.03,1.03,2052.00,1.00,1.00,50.33,1266.00,1089.00,20.89,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.303,-8.99,14.43,161.60,9.03,1.03,2055.00,1.00,1.00,50.04,1270.00,1090.00,20.88,10.01,386.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:30.349,-8.99,14.43,161.60,9.03,1.03,2062.00,1.00,1.00,50.33,1270.00,1082.00,20.84,10.00,386.00,2.00,22.05,0.00,0.00,9.00,47.00
